slug,name,publisher,url,region,tier,evidenceKind,lineage,editions,canonicalUrl,scaleNotes,notes
canberra-plant-selector,Canberra Plant Selector — fire-retardant attribute,ACT Government / Everyday Climate Choices,https://plantselector.com.au/browse-plants/?fire_retardant%5B0%5D=1,"Australian Capital Territory, Australia",2,compiled,act-fire-retardant-plants-canberra,live tool capture 2026-08-25,https://fireapproved.com/plants/source/canberra-plant-selector/,The public selector exposes a Fire Retardant Yes/No filter and repeats the selected attribute on each result card. Only Yes rows map to recommend. No is absence of the positive selector attribute and is not converted to an avoid verdict.,"The live 2026-08-25 tool reports 259 total plants and 131 Fire Retardant: Yes plants, replacing the registry's stale estimate of 342. All 22 filtered result pages were captured at one request per second. Named cultivars were collapsed only where the printed label also states a species; genus-only hybrid/cultivar labels, two authorless homonyms, an unrepresentable subspecies row, and a variety collapsed by GBIF were held. Of 131 printed Yes rows, 122 exact GBIF owners are represented (72 existing records enriched and 50 records created); nine rows are retained in the ledger as held."
cflo-2023-caatinga-fire-behavior,Comportamento do fogo em espécies nativas da Caatinga na região geográfica imediata de Patos-PB,"Ciência Florestal, Universidade Federal de Santa Maria",https://periodicos.ufsm.br/cienciaflorestal/article/view/73573,"Caatinga around Patos, Paraíba, Brazil",1,field-trial,ufcg-patos-caatinga-tree,"Ciência Florestal 33(3), e73573 2023-10-24",https://fireapproved.com/plants/source/cflo-2023-caatinga-fire-behavior/,"Ten species were compared in three replicated outdoor 1 m² burns. Tables 6-9 report ignition attempts/time, flame height, combustibility index, spread rate, fire intensity, and severity. Only Cnidoscolus quercifolius and Aristida adscensionis receive explicit overall flammability conclusions.","Leaves and branches no more than 0.7 cm in diameter were air-dried for 30 days; each treatment used 9 kg of fuel. Cnidoscolus quercifolius did not sustain flame spread, so it is absent from the later metric tables and its fire intensity is described as zero. PDF SHA-256: e982b13fcd9d796607f66d7b1cec059e2bcd8ac621296b1506612f4c67579c75."
colorado-8-ccr-1206-2-v10787,Colorado Noxious Weed Act Rules (8 CCR 1206-2),Colorado Department of Agriculture and Colorado Secretary of State,https://www.sos.state.co.us/CCR/GenerateRulePdf.do?fileName=8+CCR+1206-2&ruleVersionId=10787,Colorado,,regulatory-list,colorado-8-ccr-1206-2,,https://fireapproved.com/plants/source/colorado-8-ccr-1206-2-v10787/,List A is a statewide eradication designation. List B is statewide listed with management objectives that can vary by county or rule plan. List C supports local integrated management and education.,"The official current rules portal identifies immutable ruleVersionId 10787, including the amendment effective 2023-05-15 and later management provisions. The snapshot is text-extractable and is parsed only within asserted section boundaries with exact expected counts. The source states no reusable upstream license; derived FireApproved rows remain CC BY 4.0."
corbett-safer-gardens-2021,Safer Gardens: Plant Flammability & Planning for Fire,Lesley Corbett / Australian Scholarly Publishing,https://www.firesafergardens.com/,Global compilation (published in Australia),2,compiled,meta-aggregator,2021 book / public web sample 2021,https://fireapproved.com/plants/source/corbett-safer-gardens-2021/,"The book synthesizes low, moderate, and high plant flammability findings, preserving conflicts among primary studies. The public 56-page sample omits Chapter 10's Plant Flammability Table. Only explicit taxon-level findings in the public sample and author website were admitted: low = recommend, high = avoid, and conditional or seasonally conflicting findings = mixed.","Eleven exact public findings were ingested. The website publishes a 500-plus plant name index, but names alone are not ratings and were not converted to evidence. The omitted full table remains a documented access gap. Captures: home HTML SHA-256 796bcc99d5ba13c5ab969be6d2d166740fd1099c48cf262105a31f19114daabf; plants-page HTML SHA-256 55f04e58431bc64e98e5e96825cbdbb30acd7b07f029879df8ab32dcf4c3c04e; public sample PDF SHA-256 581815b6ffd6a18c89ff33bdb55e296d3c98261060709810d003efcdc7304334."
csiro-bushfire-best-practice-landscaping,Bushfire Best Practice Guide — Landscaping,CSIRO,https://research.csiro.au/bushfire/landscaping/,Australia,2,compiled,csiro-building-survival,2021 web guide 2021-06-22,https://fireapproved.com/plants/source/csiro-bushfire-best-practice-landscaping/,"The guide is almost entirely design-, maintenance-, and trait-based. Its one explicit taxon-level suitability statement names Grevillea at genus rank; that statement maps to recommend. Generic advice to choose low-flammability species was not converted into taxon evidence.","One exact GBIF genus owner was created from the shrubs-page image caption. The landing page and all 12 landscaping child pages were captured and read; the remaining pages name plant forms and materials, not taxa. Main-page HTML SHA-256 f95ab0ddf5ec4b174c79476a91556cb6acb350a3be968cbaf771808aa1dea28c; shrubs-page HTML SHA-256 4831b0e8cc874f3108f1969a31c2eb38fddcae0bcd2b1ee356aa6136e539c4c5."
csu-6305,Ignition-Resistant Landscape Plants (Fact Sheet 6.305),Colorado State University Extension / Colorado State Forest Service (Wildfire Mitigation Series),https://csfs.colostate.edu/wp-content/uploads/2025/08/CSFS_CSU-Ext_Fact-Sheets_IRLP_2025_081825-2_web_accessible.pdf,Colorado / Rocky Mountain Front Range,1,field-trial,idaho-tree,2025 2025-07; 2010 2010,https://fireapproved.com/plants/source/csu-6305/,"114 ignition-resistant plants scored 7.5-10 on the 0-10 ignitability scale, with the fact sheet's own doctrine that only plants scoring 8, 9, or 10 belong in defensible-space zones 1 and 2. Verdict map: 8-10 = recommend, 7.5 = mixed (below the source's own zone-1-2 bar). The sheet credits ""the Idaho materials"" as the basis of the scoring, so rows whose scores duplicate the Idaho Firewise master database resolve to that root.","The 2025 revision replaces the unscored FireWise Plant Materials lists of the 2001-2010 editions (Wayback captures archived for edition-diffing). A recommend-side list only; it condemns nothing. Exact replay audited 2026-08-25: all 114 rows resolve to existing GBIF owners, using nine documented exact corrections. Seventy-eight score-identical rows resolve to Idaho via original; 36 rows remain CSU-original. The hardened parser creates no records and every row carries full table placement and lineage. The live official 911,932-byte PDF exactly matched the pinned input on 2026-08-26; SHA-256: 212a02e650522f10b3b15a38d313217985274baaede43bc83d0249081cedd235."
dehane-2017-cork-oak-companions,Flammability of some companion species in cork oak forests,"Annals of Forest Science (Dehane, Hernando, Guijarro & Madrigal)",https://hal.science/hal-02976554/document,"Tlemcen Mountains, western Algeria",1,lab-tested,inia-madrid-tree,2017 2017-08-04,https://fireapproved.com/plants/source/dehane-2017-cork-oak-companions/,"K-means classifications of fresh and oven-dried fuels differ. The paper's abstract explicitly identifies Calicotome spinosa, Tetraclinis articulata, Juniperus oxycedrus, and Pinus halepensis as highly flammable. Verdict map: this explicit overall high group = avoid; all other measured taxa = mixed. No recommend verdict is inferred from a favorable fresh-only cluster.","The complete article is publicly archived in HAL. All ten exact species are represented. Fresh twigs with foliage and paired oven-dried samples were tested by mass-loss calorimeter. Hernando, Guijarro, and Madrigal place this in the INIA Madrid fire-lab program already represented by Ganteaume; the Algerian samples are new data but share one inia-madrid-tree vote."
delaware-3-de-admin-code-806-2026,Delaware 3 DE Admin. Code 806 Invasive Plant and Plant Watch Lists,Delaware Department of Agriculture,https://agriculture.delaware.gov/plant-industries/nursery-inspection/,Delaware,,regulatory-list,delaware-3-de-admin-code-806,,https://fireapproved.com/plants/source/delaware-3-de-admin-code-806-2026/,"The current regulation names 39 Invasive Plant List taxa and one Plant Watch List taxon. Chapter 29 restricts import, export, purchase, sale, transport, distribution, and propagation of viable listed material. Invasive-list activities require the Secretary's prior written approval for the statute's disposal, control, research, education, or bounded export purposes. The Watch row instead requires the published tag, label, or sign. Four May 2026 additions have department enforcement dates in 2028 or 2029.","The May 2026 final order adopts the March 2026 regulatory text unchanged and makes it effective ten days after publication. The current DDA page supplies the clean complete list, identifies 35 invasive-list rows with enforcement in effect, two additions with enforcement beginning May 1, 2028, two additions beginning May 1, 2029, and twelve current named cultivar exemptions. Chapter 29 supplies the activity and prior-written-approval boundaries. Regulation 806 states that cultivar exemptions are conditional and subject to revocation. Legal status, ecological invasion, and fire performance remain separate dimensions."
della-rocca-2015-cypress-lab,Possible land management uses of common cypress to reduce wildfire initiation risk: a laboratory study,Elsevier / Journal of Environmental Management (IPSP-CNR and INIA-CIFOR),https://doi.org/10.1016/j.jenvman.2015.05.020,"Valencia, Spain / Mediterranean",1,lab-tested,cypfire-tree,Journal of Environmental Management 159 2015-08-15,https://fireapproved.com/plants/source/della-rocca-2015-cypress-lab/,"Component-level study of Cupressus sempervirens var. horizontalis live crown and dead litter. The authors report relative resistance to ignition and low crown/litter ignitability, while requiring multiple methods to characterize sustainability, combustibility, and consumability. Both rows map to mixed; no overall low-flammability class is inferred.","Tier 1 bench-scale laboratory study using mass-loss calorimetry, epiradiator, and oxygen bomb methods. The selected-variety cypress-barrier application is framed as a promising complementary tool needing further study. Evidence remains variety-, part-, moisture-, and placement-specific and does not roll up to the species or genus."
dibble-2007-northeastern-invasives,Combustion characteristics of north-eastern USA vegetation tested in the cone calorimeter,"International Journal of Wildland Fire (Dibble, White, Lebow)",https://research.fs.usda.gov/treesearch/31137,north-eastern and mid-Atlantic United States,1,lab-tested,usfs-fpl-cone-tree,2007 2007-08-20,https://fireapproved.com/plants/source/dibble-2007-northeastern-invasives/,"The paper reports several cone-calorimeter measurements and warns that their rankings are not interchangeable. Verdicts therefore use only the abstract's author-named effective-heat-of-combustion extremes: taxa named high = avoid; taxa named low = recommend; every other measured taxon = mixed. This is a map of the conditioned foliage-and-twig result, not a whole-plant claim.","Public full text is hosted by the USDA Forest Service. Thirty-six identified vascular species and one genus-rank Vitis row are represented. Cynanchum cf. louiseae remains held because a cf. determination is not a genus rating; three bryophytes and one lichen remain held because the current directory schema has no defensible nonvascular plant form. Dibble and White overlap the Forest Products Laboratory cone-calorimeter program represented by White et al. 2002 and Weise et al. 2005, so this is one usfs-fpl-cone-tree vote."
dovetail-ne-minnesota,Landscaping for Wildfire Defensible Space in Northeastern Minnesota (Firewise),"Dovetail Partners (Ely, MN; supported by The Nature Conservancy / USDA Forest Service PERFACT agreement)",https://dovetailinc.org/land_use_pdfs/mnfirewiselandscapefulllength.pdf,northeastern Minnesota,1,keyed-curation,ufifas-srs-tree,2017 2017,https://fireapproved.com/plants/source/dovetail-ne-minnesota/,"Table 2 rates 38 wildfire-resistant, non-invasive plants low or moderate flammability using the UF/IFAS Circular 1453 methodology (Behm, Long, Monroe, Randall, Zipperer, Hermansen-Baez 2004), with the document's own placement mapping — low-flammability plants may be planted 3 to 30 feet from a building, moderate ones beyond 30 feet. Verdict map: low = recommend, moderate = mixed.","The only rated Minnesota list; a clean application of the Florida flammability key to northeastern Minnesota natives, with growing-condition columns (form, soil moisture, sun, hardiness zones). The document's boreal-tree flammability table (Table 1) is attributed to Manitoba's FireSmart program and is not part of this source's own ratings. The pinned input is 4,647,325 bytes; SHA-256: d2ae26cd78f2246f54435421d6914900cea71475bb70249d1447accf945bb042."
fdacs-south-florida-firewise-guide,Landscaping to Reduce Wildfire Risk: South Florida Edition,Florida Forest Service,https://www.fdacs.gov/content/download/25648/file/South_Florida_Firewise_Landscaping_Guide.pdf,South Florida,2,expert-curated,unknown,South Florida Edition 2013-04-09,https://fireapproved.com/plants/source/fdacs-south-florida-firewise-guide/,"Narrative hazard callouts rather than a ranked plant table. The guide calls five named invasive plants extremely flammable, flags grape vine as a fire concern, calls palmetto highly combustible, and describes condition-dependent fire spread on cabbage palm.","Written and designed for the Florida Forest Service by Melissa Yunas and Victor Hill. The guide links Firewise and University of Florida resources but gives no claim-level provenance or rating method, so its evidence lineage remains unknown. The eight represented owners preserve only taxonomic precision supported by the printed common or genus names. The pinned official PDF is 4,425,484 bytes. Official PDF SHA-256: 883a3538a62612580f8e4758df34283d91d11b04b5260702138c3c0edf316a89."
fenz-low-flammability,Low Flammability Plants directory,Fire and Emergency New Zealand (plant flammability testing at Lincoln University),https://www.checkitsalright.nz/reduce-your-risk/low-flammability-plants,New Zealand,1,lab-tested,lincoln-nz-tree,2026 2026,https://fireapproved.com/plants/source/fenz-low-flammability/,"Seven-level flammability classification (Very low / Low / Low-moderate / Moderate / Moderate-high / High / Very high) across 402 species, grounded in shoot-flammability testing at Lincoln University (the Curran-group ""plant barbecue"" program). Verdict map: very low, low, and low-moderate = recommend (the directory calls low and low-moderate species ideal for planting); moderate and moderate-high = mixed; high and very high = avoid. A separate list of twelve high-flammability environmental weeds (2024 Department of Conservation list) maps to avoid.","The deepest lab-derived official plant flammability directory anywhere, and the corpus's first Southern Hemisphere lab chain. Website content is CC-BY-NC-ND, so only uncopyrightable facts are extracted — species names, classifications, and poisonous/weed flags — with attribution in text. Accessed via FENZ's checkitsalright.nz property; origin column is NZ-relative."
fernandes-2020-selective-shrub-mgmt,Selective Shrub Management to Preserve Mediterranean Forests and Reduce the Risk of Fire,MDPI Fire / University of Évora and Instituto Politécnico de Viana do Castelo,https://doi.org/10.3390/fire3040065,Mainland Portugal,1,expert-curated,raposo-portugal-tree,"Fire 3(4), article 65 2020-11-10",https://fireapproved.com/plants/source/fernandes-2020-selective-shrub-mgmt/,"Table 2 marks 16 native genera Control in mainland Portugal fuel-management bands. Control maps to avoid only within that placement. The 18 Preserve genera are not mapped to recommend because the decision also incorporates succession, conservation value, and protected status.","Perspective grounded in phytosociology, literature synthesis, and the authors' 2017 post-fire observation. Fine-textured heliophilous shrubs are prioritized for selective control. The stable registry slug predates source inspection; the actual authors are Raposo, Pinto Gomes, and Nunes, not Fernandes."
firesafe-marin,Fire-Resistant Plants Common to Marin County,Fire Safe Marin,https://firesafemarin.org/wp-content/uploads/2021/08/FIRESafe-MARIN_plant-list_2019.pdf,"Marin County, California",,expert-curated,partially-independent,2019 2019,https://fireapproved.com/plants/source/firesafe-marin/,"The publication separates named fire-resistant plants from a shorter fire-prone list. It also identifies plants suitable for hedges. Fire Safe Marin says placement, spacing, irrigation, and removal of dead material remain necessary; it does not describe an experimental rating method.",The source remains tierless because its selection lineage is only partly documented. Its rows publish Marin's curation and conflicts without creating independent Tier 1 support in the derived rating.
firesmart-bc,FireSmart BC Plant Program — fire-resistant plant chart,FireSmart BC,https://firesmartbc.ca/landscaping-hub/fire-resistant-plants/,British Columbia,2,compiled,firesmart-bc-plant-database,2026 2026,https://fireapproved.com/plants/source/firesmart-bc/,"Binary FireSmart-approved chart of 290 plants across eight growth-form categories, each with a Home Ignition Zone suitability (intermediate 10-30 m / extended 30-100 m / extended and beyond) or a needs-more-research flag. Verdict map: approved = recommend.","Tier 2 compiled corroboration: FireSmart BC's chart substantially republishes the PNW-590 species set for BC, so rows landing on records that already carry pnw-590 evidence resolve to that root and add no independence. Zone suitability is preserved as placement guidance; needs-more-research flags travel as claims."
firewise-arkansas-plant-guide,FireWise Plants offer colorful choices for Fire Safe Gardens,NFPA Firewise Communities,https://web.archive.org/web/20070714035825/http://www.firewise.org/usa/files/ArkansasPlantGuide.pdf,Arkansas,2,compiled,firewise-national,2007 one-page guide 2007-05-04,https://fireapproved.com/plants/source/firewise-arkansas-plant-guide/,"The page presents its 19-row table as a short representation of Firewise trees, shrubs, and groundcovers homeowners can choose. Every table row maps to recommend. Its unscientific generic avoid examples are held separately.","Nineteen exact GBIF species owners were admitted from the visually audited table. Printed Juglans cincerea and Rhus copallinum errors were corrected transparently to Juglans cinerea and Rhus copallina. The generic warning to avoid pine, cedar, and juniper was not converted because it supplies no scientific names and cedar is taxonomically ambiguous. The page contains no byline or Arkansas statement; its filename suggests Arkansas, but the captured 2006 NFPA plant-list index does not include it. State coverage remains deliberately untyped until an archived index or authoring record directly establishes that scope. PDF SHA-256: 9b2a00c8c2cbd815c797e67d0d34e0d5207a53e3088e4e97af35036ba1999a20."
firewise-black-hills-sd-plantlist,Firewise Plant Material for the Black Hills,NFPA Firewise Communities,https://web.archive.org/web/20070714035957/http://www.firewise.org/usa/files/south_dakota.pdf,"Black Hills, South Dakota",2,compiled,firewise-national,scan created 2004-11-30 / 2007 archive capture 2004-11-30,https://fireapproved.com/plants/source/firewise-black-hills-sd-plantlist/,The single-page list describes every table row as a fire-resistive plant that can be used in landscaping. Each exact taxon row maps to recommend; the page provides no comparative score or avoid category.,"Forty-eight printed rows were visually audited. Forty-seven exact GBIF genus or species owners are represented and one unranked infraspecific chokecherry label is held rather than broadened. Nine obvious printed misspellings are preserved in verdictRaw and corrected transparently for matching. The page does not identify an authoring agency; NFPA's archived index supplies the South Dakota filing, while the title supplies the narrower Black Hills scope. The date is PDF creation metadata, not a claimed publication date. PDF SHA-256: 6e2b8c1d6e58801cf206de42e90f1bbd95cb496422bb0fe45d21dd5c7e910f9e. Archived-index HTML SHA-256: d3340235705dc6b89a5bcbeab68b654a9af59778bd1aeefd76b8ce8d591009f4."
firewise-uk-dorset-leaflet-2024,Protecting your home from wildfire — plants and tips that can reduce your risk,Dorset Heaths Partnership / Firewise UK / University of Exeter wildFIRE Lab,https://www.dorsetheaths.org.uk/wp-content/uploads/2024/10/Firewise-Planting-Leaflet.pdf,"Dorset, United Kingdom",1,lab-tested,exeter-wildfire-tree,2024-10 2024-10-22,https://fireapproved.com/plants/source/firewise-uk-dorset-leaflet-2024/,"University of Exeter wildFIRE Lab testing is published as green, amber, and red classes. Verdict map: green = recommend; amber = mixed; red = avoid. The leaflet defines red dry material as capable of flames over 2.5 m.",The two-page public leaflet and its visual class columns were verified. Eleven unambiguously identified species/cultivars were ingested. Seventeen entries labelled only by a genus or ambiguous common name were excluded rather than assigned a taxon. This is one exeter-wildfire-tree lab program vote.
fitzgerald-waldo-2002-osu-frn6,Fire-Resistant Plants for Oregon Home Landscapes,Oregon State University Extension Service,https://www.iatp.org/sites/default/files/Fire_Resistant_Plants_for_Oregon_Home_Landscap.pdf,Oregon,1,expert-curated,pnw590-tree,Forest Resource Note No. 6 2002-04,https://fireapproved.com/plants/source/fitzgerald-waldo-2002-osu-frn6/,"Binary inclusion in Fire-Resistant Plant Materials for Oregon, organized into groundcovers, perennials, broadleaf evergreen shrubs, deciduous shrubs, evergreen trees, and deciduous trees. A few rows carry Central, Eastern, Southern, or Western Oregon placement codes.",Direct precursor of joint PNW 590 and therefore assigned the same lineage rather than an independent vote. The guide says most listed plants require some irrigation during dry summers and that even fire-resistant plants can burn if not maintained in a healthy condition. Capture SHA-256: 3e719b3edaf3502e42f384d7972b8c79511aa85cba25d7b3234fd60fac2df954.
flamits,FLAMITS: FLAMmability plant traiTS database,Dryad / Global Ecology and Biogeography,https://doi.org/10.5061/dryad.h18931zr3,Global,2,trait-database,meta-aggregator,Dryad version 9 2023-12-22,https://fireapproved.com/plants/source/flamits/,"FLAMITS stores 19,972 numeric observations across 40 harmonized variables and five flammability dimensions. Values retain the published variable name, experimental context, and primary-study identifier. They are represented as non-voting measurements because the database does not impose one directional threshold across unlike variables, devices, plant parts, or fuel conditions.","CC0 dataset compiled from 295 primary flammability studies. Each evidence row cites both the Dryad dataset and its original source_ID; the complete primary citations are preserved in flamits-sources.csv. Of 19,972 published rows, 19,500 are admitted on 1,736 exact accepted identities. The hold ledger keeps 164 rows whose source_ID is absent from the supplied reference table and 308 rows whose taxon cannot be represented by an exact genus/species identity. Dataset version 9 data-file SHA-256: 8c876f4550ac032af98071d018dd2f76fbc96a21d1f26293ca4065537080f39c."
fps-eastern-us,Eastern United States Fire Performance Plant Selector,"USDA Forest Service Northeastern Area S&PF + state Firewise programs (WV, OH, PA, DE, DC, MD, NJ)",https://web.archive.org/web/20230224072829/https://fire.sref.info/introduction,eastern US,1,keyed-curation,ufifas-srs-tree,2016-wayback 2016-08-27,https://fireapproved.com/plants/source/fps-eastern-us/,"Firewise Rating 1-4: Firewise (1), Moderately Firewise (2), At Risk (3), Not Firewise (4). Landscape Zones LZ1-4 give the program's own placement.","Ratings assigned by Larry Steward (OSU-ATI) using the UF Circular 1453 flammability key modified for northeastern dormancy; concept by Bob Hannah (WV Division of Forestry). The program's website is dead; FireApproved's Wayback recovery (541 of 541 species, cross-validated against the 2014 master table) is the only surviving copy of the dataset. Exact-identity audit 2026-08-25: 539 rows represented by 533 evidence owners, including two not-rated source anomalies; two cultivar-group rows are taxonomy-held."
