plantId,scientificName,acceptedName,family,plantForm,flammabilityClass,ratingReason,recommendation,canonicalUrl,source,sourcePage,original,via,verdict,verdictRaw,claims,claimOriginal,score,plantPart,condition,sourcePlacement,edition,documentDate,sourceUrl,accessedOn
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Dimitrakopoulos2011,,not-rated,temperature at flaming (°C): 242.5,"FLAMITS record 2999; Ignitability measurement; plant part leaves; fuel live; predrying no; device calorimeter; site Dimitrakopoulos2011-1; sampling summer. Primary study Dimitrakopoulos2011: Dimitrakopoulos, A. P., Mitsopoulos, I. D., & Kaliva, A. (2011). Short communication. Comparing flammability traits among fire-stricken (low elevation) and non fire- stricken (high elevation) conifer forest species of Europe: a test of the Mutch hypothesis. Forest Systems, 22, 134-137.",,"{""value"":242.5,""scale"":""FLAMITS — temperature at flaming (°C)""}",leaf,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,time to flaming (s): 55,"FLAMITS record 19258; Ignitability measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":55,""scale"":""FLAMITS — time to flaming (s)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,time to flaming (s): 16,"FLAMITS record 19260; Ignitability measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":16,""scale"":""FLAMITS — time to flaming (s)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,time to flaming (s): 11,"FLAMITS record 19262; Ignitability measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":11,""scale"":""FLAMITS — time to flaming (s)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,flaming duration (s): 1252,"FLAMITS record 19264; Sustainability measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":1252,""scale"":""FLAMITS — flaming duration (s)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,flaming duration (s): 1199,"FLAMITS record 19266; Sustainability measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":1199,""scale"":""FLAMITS — flaming duration (s)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,flaming duration (s): 452,"FLAMITS record 19268; Sustainability measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":452,""scale"":""FLAMITS — flaming duration (s)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,calorific value (kcal/kg): 18875.99,"FLAMITS record 19270; Combustibility measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":18875.99,""scale"":""FLAMITS — calorific value (kcal/kg)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,calorific value (kcal/kg): 18844.94,"FLAMITS record 19272; Combustibility measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":18844.94,""scale"":""FLAMITS — calorific value (kcal/kg)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,calorific value (kcal/kg): 18954.81,"FLAMITS record 19274; Combustibility measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":18954.81,""scale"":""FLAMITS — calorific value (kcal/kg)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,energy flux (kW/m²): 164.73,"FLAMITS record 19276; Combustibility measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":164.73,""scale"":""FLAMITS — energy flux (kW/m²)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,energy flux (kW/m²): 170.09,"FLAMITS record 19278; Combustibility measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":170.09,""scale"":""FLAMITS — energy flux (kW/m²)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,energy flux (kW/m²): 242.26,"FLAMITS record 19280; Combustibility measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":242.26,""scale"":""FLAMITS — energy flux (kW/m²)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,mass loss rate (g/s): 0.21,"FLAMITS record 19282; Combustibility measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":0.21,""scale"":""FLAMITS — mass loss rate (g/s)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,mass loss rate (g/s): 0.18,"FLAMITS record 19284; Combustibility measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":0.18,""scale"":""FLAMITS — mass loss rate (g/s)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,mass loss rate (g/s): 0.26,"FLAMITS record 19286; Combustibility measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":0.26,""scale"":""FLAMITS — mass loss rate (g/s)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,burnt biomass (%): 83.49,"FLAMITS record 19288; Consumability measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":83.49,""scale"":""FLAMITS — burnt biomass (%)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,burnt biomass (%): 81.87,"FLAMITS record 19290; Consumability measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":81.87,""scale"":""FLAMITS — burnt biomass (%)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Protic2020,,not-rated,burnt biomass (%): 84.44,"FLAMITS record 19292; Consumability measurement; plant part wood; fuel dead; predrying yes; device calorimeter; site Protic2020-1; sampling ND. Primary study Protic2020: Proti?, M., Mii?, N., Raos, M., & Sekuli?, S. (2020). Solid wood flammability testing. Safety Engineering, 10, 912.",,"{""value"":84.44,""scale"":""FLAMITS — burnt biomass (%)""}",,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,greece-property-fire-regulation-2023,https://fireapproved.com/plants/source/greece-property-fire-regulation-2023/,,,avoid,ΙΔΙΑΙΤΕΡΑ ΕΥΦΛΕΚΤΑ ΕΝΔΗΜΙΚΑ ΦΥΤΑ — Abies alba,The regulation prints this taxon in its table of particularly flammable endemic trees and shrubs.,,,whole-plant,,"{""value"":""section 5.4.2, Table 2δi"",""scheme"":""greece-2023-particularly-flammable""}",FEK B 3475/2023,2023-05-24T00:00:00.000Z,https://www.elinyae.gr/ethniki-nomothesia/ya-oik-ypendaoka5590420192023-fek-3475b-2452023,2026-08-25T00:00:00.000Z
